Image,Inference Time (ms),RAM Used (MB)
3_bmp.rf.67b23dc452e0254016ad0a1494e9f125.jpg,146.72,-3.46
24_1_bmp.rf.59b7d28ab1bf6bf6021d3aec4286e8ac.jpg,149.14,3.42
52_1_bmp.rf.6dfdc6d04cea9f1e4fb756a6d21221d1.jpg,147.45,-3.72
3t_bmp.rf.27b8ea6a084055622b3144346189c27b.jpg,147.23,3.42
54s_bmp.rf.c0f94fd628d5dc80ef4004d4aa576640.jpg,148.53,-3.21
34s_bmp.rf.eba82af787791770377dcb121282cf0a.jpg,149.87,3.42
7_1_bmp.rf.f8cce3ed6863576219815986d8ebeaed.jpg,147.90,-3.46
49s_bmp.rf.533007d7ac06359d7b915f04595afb00.jpg,147.39,3.42
10_1_bmp.rf.c438d1d7fcba9b542f7a283583f4029d.jpg,148.96,-3.72
41_1s_bmp.rf.5616c902aa604029016d5f97de4b09e2.jpg,149.27,3.93
7t_bmp.rf.12cb7b7c0db1cba697ee37d759cde046.jpg,148.90,-3.72
2_1t_bmp.rf.0d21dff01eebfde77ca8559db5fc19fc.jpg,147.28,3.68
4t_bmp.rf.48abf1017b954e46b90460298c0e7f48.jpg,145.94,-3.46
34_1_bmp.rf.3e864f2e1172c0e8dc38c2532269e701.jpg,149.40,3.16
50_1s_bmp.rf.24939fef806c2da7b7a1acdea746e021.jpg,148.78,-3.21
7_1s_bmp.rf.29655ddce806c26437d48e674d21e667.jpg,148.16,3.42
7_bmp.rf.9974caf1709ea7a10584c45dd2a116f4.jpg,147.96,-3.46
35_1t_bmp.rf.870d61548ad7891af7b69a01a9f756a7.jpg,147.89,3.68
1_bmp.rf.348f93421ba8f0c95edc2655938a83fd.jpg,148.71,-3.98
8_1t_bmp.rf.6bf30b9845bde6b6eaff778689ebbeac.jpg,148.84,3.93
14s_bmp.rf.652ead8490eb516eee8a21a222fc7599.jpg,147.27,-3.98
55_1_bmp.rf.80d2ef09a3d4cc73b5296bb15e0126eb.jpg,148.67,3.93
1_1_bmp.rf.db6d5df3f741d5f15448ce31a34b91fd.jpg,147.00,-3.46
28_1s_bmp.rf.ee949f0ee8107dd03be533c3e24cb24d.jpg,147.10,3.16
6s_bmp.rf.f3c3441f87c945311ecdec5d04b3a853.jpg,148.80,-3.21
10t_bmp.rf.46a043f7a85fdd80ec3eb4a6f0e865ef.jpg,148.74,3.16
45_1_bmp.rf.cbe95da12784b3f44bd5e4f9f1ad5308.jpg,148.67,-3.21
25t_bmp.rf.496b89b4ecc0a92887de3e914934942a.jpg,149.25,3.42
47t_bmp.rf.e33c61cee885542294493660f4ecbd8d.jpg,146.24,-3.72
8t_bmp.rf.1281a24d38a6d706a381431a4d8673f4.jpg,148.44,3.93
9_bmp.rf.26ef4a51e5f14776a40c0c3bc26f0a20.jpg,147.91,-3.98
8_1_bmp.rf.7e4432adae61c9341dafc136ebb0d30e.jpg,162.40,3.93
